,id_product,product,brand,series,price,id_shop,location,storage,cpu,date,sold
183,160,Acer Aspire 514 Intel,Acer,aspire,8756600.0,murahkom,Surabaya,1 TB,Intel,2021-01-15,3
184,37,Gaming Acer Aspire 3,Acer,aspire,6100000.0,iphone6kredit,Jakarta Selatan,,AMD,2021-01-15,4
185,38,Acer Aspire A314 Amd,Acer,aspire,4950000.0,tercepath,Jakarta Barat,,AMD,2021-01-15,3
186,39,Acer Aspire 3 Slim,Acer,aspire,5999000.0,mydaysonlineshop,Tangerang,512 GB,,2021-01-15,10
187,17,Militer Super Tangguh Dell,Acer,aspire,8500000.0,lockstore,Jakarta Pusat,256 GB,Intel,2021-01-15,9
188,20,Hp Elitebook 725 G3,Acer,aspire,3499000.0,revocomputer,Jakarta Barat,,AMD,2021-01-15,14
189,161,Hp Pavilion 13 An0031,Acer,aspire,7799000.0,mimomart,Jakarta Utara,,Intel,2021-01-15,4
190,18,"Hp 15"" Intel I3",Acer,aspire,7699000.0,maegel-shop,Jakarta Barat,512 GB,Intel,2021-01-15,3
191,162,Lenovo V14 Ryzen 7,Acer,aspire,10085850.0,mur4hk0m,Surabaya,512 GB,AMD,2021-01-15,3
192,163,Acer Aspire 3 Slim,Acer,aspire,6899000.0,djteknologi,Jakarta Barat,512 GB,AMD,2021-01-15,1
193,164,Acer Aspire 3 Celeron,Acer,aspire,5799000.0,hosanacomp,Jakarta Pusat,256 GB,Intel,2021-01-15,6
194,165,Acer Aspire 5 A514-51k-31u6,Acer,aspire,6290000.0,gudangpda,Jakarta Barat,1 TB,Intel,2021-01-15,5
195,52,Acer Aspire 5 A514-53,Acer,aspire,7299000.0,fastkomputer-1,Tangerang,512 GB,Intel,2021-01-15,92
196,46,Acer Aspire Thin Aio,Acer,aspire,11720000.0,acerid,Jakarta Pusat,1 TB,Intel,2021-01-15,2
197,47,Acer Aspire 5 A514-52g,Acer,aspire,10289000.0,mimomart,Jakarta Utara,1 TB,Intel,2021-01-15,4
198,48,Acer Aspire 5 A514-53-32h2,Acer,aspire,7750000.0,simply44,Medan,512 GB,Intel,2021-01-15,1
199,49,Acer Aspire 5 A514-53,Acer,aspire,7799000.0,les-infonetambas,Jakarta Selatan,512 GB,Intel,2021-01-15,1
200,50,Acer Aspire 5 Slim,Acer,aspire,13399000.0,acerid,Jakarta Pusat,512 GB,Intel,2021-01-15,5
201,51,Acer Aspire 3 Slim,Acer,aspire,6750000.0,claiy,Bandung,256 GB,AMD,2021-01-15,1
202,166,Lenovo Thinkpad L450 Ci5,Acer,aspire,3600000.0,foxcomp,Jakarta Pusat,,Intel,2021-01-15,2
203,32,Dell Latitude E6440 Core,Acer,aspire,3750000.0,fortunelaptop,Jakarta Pusat,,Intel,2021-01-15,11
204,167,Lenovo Thinkpad L440 I5,Acer,aspire,3400000.0,aj-komputer,Tangerang,,Intel,2021-01-15,5
205,168,Lenovo Thinkpad X240 Core,Acer,aspire,3250000.0,timoho29,Yogyakarta,,Intel,2021-01-15,11
206,169,Dell Latitude E7250 Core,Acer,aspire,5250000.0,real789best,Jakarta Pusat,256 GB,Intel,2021-01-15,11
207,170,Acer Aspire 3 A315-42,Acer,aspire,5999000.0,gasol,Malang,1 TB,AMD,2021-01-15,1
208,171,Acer Aspire 5 A514,Acer,aspire,5990000.0,gcomp-1,Bandung,1 TB,Intel,2021-01-15,4
209,172,Acer Aspire A314 Amd,Acer,aspire,4500000.0,laptoph,Jakarta Barat,,AMD,2021-01-15,2
210,173,Acer Aspire 5 A514,Acer,aspire,8500000.0,sidiqstore-2,Bandung,512 GB,Intel,2021-01-15,3
211,174,Acer Aspire 3 A314,Acer,aspire,5599000.0,onlineshopjambu,Bogor,256 GB,AMD,2021-01-15,2
